number,code,emoji,emoji-symbol,title
0001,u+1f600,grinning_face,😀,grinning face
0002,u+1f603,grinning_face_with_big_eyes,😃,grinning face with big eyes
0003,u+1f604,grinning_face_with_smiling_eyes,😄,grinning face with smiling eyes
0004,u+1f601,beaming_face_with_smiling_eyes,😁,beaming face with smiling eyes
0005,u+1f606,grinning_squinting_face,😆,grinning squinting face
0006,u+1f605,grinning_face_with_sweat,😅,grinning face with sweat
0007,u+1f923,rolling_on_the_floor_laughing,🤣,rolling on the floor laughing
0008,u+1f602,face_with_tears_of_joy,😂,face with tears of joy
0009,u+1f642,slightly_smiling_face,🙂,slightly smiling face
0010,u+1f643,upside_down_face,🙃,upside-down face
0011,u+1f609,winking_face,😉,winking face
0012,u+1f60a,smiling_face_with_smiling_eyes,😊,smiling face with smiling eyes
0013,u+1f607,smiling_face_with_halo,😇,smiling face with halo
0014,u+1f970,smiling_face_with_hearts,🥰,smiling face with hearts
0015,u+1f60d,smiling_face_with_heart_eyes,😍,smiling face with heart-eyes
0016,u+1f929,star_struck,🤩,star-struck
0017,u+1f618,face_blowing_a_kiss,😘,face blowing a kiss
0018,u+1f617,kissing_face,😗,kissing face
0019,u+263a,smiling_face,☺,smiling face
0020,u+1f61a,kissing_face_with_closed_eyes,😚,kissing face with closed eyes
0021,u+1f619,kissing_face_with_smiling_eyes,😙,kissing face with smiling eyes
0022,u+1f972,smiling_face_with_tear,🥲,smiling face with tear
0023,u+1f60b,face_savoring_food,😋,face savoring food
0024,u+1f61b,face_with_tongue,😛,face with tongue
0025,u+1f61c,winking_face_with_tongue,😜,winking face with tongue
0026,u+1f92a,zany_face,🤪,zany face
0027,u+1f61d,squinting_face_with_tongue,😝,squinting face with tongue
0028,u+1f911,money_mouth_face,🤑,money-mouth face
0029,u+1f917,hugging_face,🤗,hugging face
0030,u+1f92d,face_with_hand_over_mouth,🤭,face with hand over mouth
0031,u+1f92b,shushing_face,🤫,shushing face
0032,u+1f914,thinking_face,🤔,thinking face
0033,u+1f910,zipper_mouth_face,🤐,zipper-mouth face
0034,u+1f928,face_with_raised_eyebrow,🤨,face with raised eyebrow
0035,u+1f610,neutral_face,😐,neutral face
0036,u+1f611,expressionless_face,😑,expressionless face
0037,u+1f636,face_without_mouth,😶,face without mouth
0038,u+1f636-u+200d-u+1f32b-u+fe0f,face_in_clouds,😶‍🌫️,face in clouds
0039,u+1f60f,smirking_face,😏,smirking face
0040,u+1f612,unamused_face,😒,unamused face
0041,u+1f644,face_with_rolling_eyes,🙄,face with rolling eyes
0042,u+1f62c,grimacing_face,😬,grimacing face
0043,u+1f62e-u+200d-u+1f4a8,face_exhaling,😮‍💨,face exhaling
0044,u+1f925,lying_face,🤥,lying face
0045,u+1f60c,relieved_face,😌,relieved face
0046,u+1f614,pensive_face,😔,pensive face
0047,u+1f62a,sleepy_face,😪,sleepy face
0048,u+1f924,drooling_face,🤤,drooling face
0049,u+1f634,sleeping_face,😴,sleeping face
0050,u+1f637,face_with_medical_mask,😷,face with medical mask
0051,u+1f912,face_with_thermometer,🤒,face with thermometer
0052,u+1f915,face_with_head_bandage,🤕,face with head-bandage
0053,u+1f922,nauseated_face,🤢,nauseated face
0054,u+1f92e,face_vomiting,🤮,face vomiting
0055,u+1f927,sneezing_face,🤧,sneezing face
0056,u+1f975,hot_face,🥵,hot face
0057,u+1f976,cold_face,🥶,cold face
0058,u+1f974,woozy_face,🥴,woozy face
0059,u+1f635,knocked_out_face,😵,knocked-out face
0060,u+1f635-u+200d-u+1f4ab,face_with_spiral_eyes,😵‍💫,face with spiral eyes
0061,u+1f92f,exploding_head,🤯,exploding head
0062,u+1f920,cowboy_hat_face,🤠,cowboy hat face
0063,u+1f973,partying_face,🥳,partying face
0064,u+1f978,disguised_face,🥸,disguised face
0065,u+1f60e,smiling_face_with_sunglasses,😎,smiling face with sunglasses
0066,u+1f913,nerd_face,🤓,nerd face
0067,u+1f9d0,face_with_monocle,🧐,face with monocle
0068,u+1f615,confused_face,😕,confused face
0069,u+1f61f,worried_face,😟,worried face
0070,u+1f641,slightly_frowning_face,🙁,slightly frowning face
0071,u+2639,frowning_face,☹,frowning face
0072,u+1f62e,face_with_open_mouth,😮,face with open mouth
0073,u+1f62f,hushed_face,😯,hushed face
0074,u+1f632,astonished_face,😲,astonished face
0075,u+1f633,flushed_face,😳,flushed face
0076,u+1f97a,pleading_face,🥺,pleading face
0077,u+1f626,frowning_face_with_open_mouth,😦,frowning face with open mouth
0078,u+1f627,anguished_face,😧,anguished face
0079,u+1f628,fearful_face,😨,fearful face
0080,u+1f630,anxious_face_with_sweat,😰,anxious face with sweat
0081,u+1f625,sad_but_relieved_face,😥,sad but relieved face
0082,u+1f622,crying_face,😢,crying face
0083,u+1f62d,loudly_crying_face,😭,loudly crying face
0084,u+1f631,face_screaming_in_fear,😱,face screaming in fear
0085,u+1f616,confounded_face,😖,confounded face
0086,u+1f623,persevering_face,😣,persevering face
0087,u+1f61e,disappointed_face,😞,disappointed face
0088,u+1f613,downcast_face_with_sweat,😓,downcast face with sweat
0089,u+1f629,weary_face,😩,weary face
0090,u+1f62b,tired_face,😫,tired face
0091,u+1f971,yawning_face,🥱,yawning face
0092,u+1f624,face_with_steam_from_nose,😤,face with steam from nose
0093,u+1f621,pouting_face,😡,pouting face
0094,u+1f620,angry_face,😠,angry face
0095,u+1f92c,face_with_symbols_on_mouth,🤬,face with symbols on mouth
0096,u+1f608,smiling_face_with_horns,😈,smiling face with horns
0097,u+1f47f,angry_face_with_horns,👿,angry face with horns
0098,u+1f480,skull,💀,skull
0099,u+2620,skull_and_crossbones,☠,skull and crossbones
0100,u+1f4a9,pile_of_poo,💩,pile of poo
0101,u+1f921,clown_face,🤡,clown face
0102,u+1f479,ogre,👹,ogre
0103,u+1f47a,goblin,👺,goblin
0104,u+1f47b,ghost,👻,ghost
0105,u+1f47d,alien,👽,alien
0106,u+1f47e,alien_monster,👾,alien monster
0107,u+1f916,robot,🤖,robot
0108,u+1f63a,grinning_cat,😺,grinning cat
0109,u+1f638,grinning_cat_with_smiling_eyes,😸,grinning cat with smiling eyes
0110,u+1f639,cat_with_tears_of_joy,😹,cat with tears of joy
