number,code,url-name,filename,emoji,emoji-symbol,link,Image,title,front-matter
0001,u+1f600,grinning-face,0001-grinning-face.md,grinning_face,😀,permalink: 😀.html, assets/img/3moji/grinning_face.png,grinning face,"---
layout: smileys&emotion
title: grinning face
emoji: grinning_face
permalink: 😀.html
image: assets/img/3moji/grinning_face.png
---"
0002,u+1f603,grinning-face-with-big-eyes,0002-grinning-face-with-big-eyes.md,grinning_face_with_big_eyes,😃,permalink: 😃.html, assets/img/3moji/grinning_face_with_big_eyes.png,grinning face with big eyes,"---
layout: smileys&emotion
title: grinning face with big eyes
emoji: grinning_face_with_big_eyes
permalink: 😃.html
image: assets/img/3moji/grinning_face_with_big_eyes.png
---"
0003,u+1f604,grinning-face-with-smiling-eyes,0003-grinning-face-with-smiling-eyes.md,grinning_face_with_smiling_eyes,😄,permalink: 😄.html, assets/img/3moji/grinning_face_with_smiling_eyes.png,grinning face with smiling eyes,"---
layout: smileys&emotion
title: grinning face with smiling eyes
emoji: grinning_face_with_smiling_eyes
permalink: 😄.html
image: assets/img/3moji/grinning_face_with_smiling_eyes.png
---"
0004,u+1f601,beaming-face-with-smiling-eyes,0004-beaming-face-with-smiling-eyes.md,beaming_face_with_smiling_eyes,😁,permalink: 😁.html, assets/img/3moji/beaming_face_with_smiling_eyes.png,beaming face with smiling eyes,"---
layout: smileys&emotion
title: beaming face with smiling eyes
emoji: beaming_face_with_smiling_eyes
permalink: 😁.html
image: assets/img/3moji/beaming_face_with_smiling_eyes.png
---"
0005,u+1f606,grinning-squinting-face,0005-grinning-squinting-face.md,grinning_squinting_face,😆,permalink: 😆.html, assets/img/3moji/grinning_squinting_face.png,grinning squinting face,"---
layout: smileys&emotion
title: grinning squinting face
emoji: grinning_squinting_face
permalink: 😆.html
image: assets/img/3moji/grinning_squinting_face.png
---"
0006,u+1f605,grinning-face-with-sweat,0006-grinning-face-with-sweat.md,grinning_face_with_sweat,😅,permalink: 😅.html, assets/img/3moji/grinning_face_with_sweat.png,grinning face with sweat,"---
layout: smileys&emotion
title: grinning face with sweat
emoji: grinning_face_with_sweat
permalink: 😅.html
image: assets/img/3moji/grinning_face_with_sweat.png
---"
0007,u+1f923,rolling-on-the-floor-laughing,0007-rolling-on-the-floor-laughing.md,rolling_on_the_floor_laughing,🤣,permalink: 🤣.html, assets/img/3moji/rolling_on_the_floor_laughing.png,rolling on the floor laughing,"---
layout: smileys&emotion
title: rolling on the floor laughing
emoji: rolling_on_the_floor_laughing
permalink: 🤣.html
image: assets/img/3moji/rolling_on_the_floor_laughing.png
---"
0008,u+1f602,face-with-tears-of-joy,0008-face-with-tears-of-joy.md,face_with_tears_of_joy,😂,permalink: 😂.html, assets/img/3moji/face_with_tears_of_joy.png,face with tears of joy,"---
layout: smileys&emotion
title: face with tears of joy
emoji: face_with_tears_of_joy
permalink: 😂.html
image: assets/img/3moji/face_with_tears_of_joy.png
---"
0009,u+1f642,slightly-smiling-face,0009-slightly-smiling-face.md,slightly_smiling_face,🙂,permalink: 🙂.html, assets/img/3moji/slightly_smiling_face.png,slightly smiling face,"---
layout: smileys&emotion
title: slightly smiling face
emoji: slightly_smiling_face
permalink: 🙂.html
image: assets/img/3moji/slightly_smiling_face.png
---"
0010,u+1f643,upside-down-face,0010-upside-down-face.md,upside_down_face,🙃,permalink: 🙃.html, assets/img/3moji/upside_down_face.png,upside-down face,"---
layout: smileys&emotion
title: upside-down face
emoji: upside_down_face
permalink: 🙃.html
image: assets/img/3moji/upside_down_face.png
---"
